country,year,quarter,arrivals
Ba Lan,2024,Q1,20279.0
Ba Lan,2025,Q1,31005.0
Ba Lan,2026,Q1,47232.0
Bỉ,2013,Q1,5075.0
Bỉ,2014,Q1,6017.0
Bỉ,2015,Q1,5455.0
Bỉ,2016,Q1,6417.0
Bỉ,2017,Q1,7113.0
Bỉ,2018,Q1,7572.0
Bỉ,2019,Q1,7650.0
Bỉ,2020,Q1,7452.0
Bỉ,2022,Q1,216.0
Bỉ,2023,Q1,5917.0
Bỉ,2024,Q1,8275.0
Bỉ,2025,Q1,9569.0
Bỉ,2026,Q1,11360.0
Campuchia,2010,Q1,43115.0
Campuchia,2011,Q1,76586.0
Campuchia,2012,Q1,102627.0
Campuchia,2013,Q1,74090.0
Campuchia,2014,Q1,99140.0
Campuchia,2015,Q1,77686.0
Campuchia,2016,Q1,41638.0
Campuchia,2017,Q1,56187.0
Campuchia,2018,Q1,67729.0
Campuchia,2019,Q1,33991.0
Campuchia,2020,Q1,120430.0
Campuchia,2022,Q1,1961.0
Campuchia,2023,Q1,95516.0
Campuchia,2024,Q1,113746.0
Campuchia,2025,Q1,233911.0
Campuchia,2026,Q1,330102.0
Canada,2009,Q1,17064.0
Canada,2010,Q1,10043.0
Canada,2013,Q1,33122.0
Canada,2014,Q1,37525.0
Canada,2015,Q1,35986.0
Canada,2016,Q1,40679.0
Canada,2017,Q1,47116.0
Canada,2018,Q1,50926.0
Canada,2019,Q1,53765.0
Canada,2020,Q1,41807.0
Canada,2022,Q1,1481.0
Canada,2023,Q1,43815.0
Canada,2024,Q1,49943.0
Canada,2025,Q1,60124.0
Canada,2026,Q1,74670.0
Các thị trường khác,2009,Q1,265257.0
Các thị trường khác,2010,Q1,383842.0
Các thị trường khác,2011,Q1,403739.0
Các thị trường khác,2012,Q1,469626.0
Các thị trường khác,2013,Q1,79019.0
Các thị trường khác,2014,Q1,181673.0
Các thị trường khác,2015,Q1,152958.0
Các thị trường khác thuộc châu Mỹ,2016,Q1,18076.0
Các thị trường khác thuộc châu Mỹ,2017,Q1,20885.0
Các thị trường khác thuộc châu Mỹ,2018,Q1,21576.0
Các thị trường khác thuộc châu Mỹ,2019,Q1,19994.0
Các thị trường khác thuộc châu Mỹ,2020,Q1,19537.0
Các thị trường khác thuộc châu Mỹ,2022,Q1,662.0
Các thị trường khác thuộc châu Mỹ,2023,Q1,13279.0
Các thị trường khác thuộc châu Mỹ,2024,Q1,19949.0
