country,month,forecast,lower_95,upper_95
Trung Quốc,2026-01,223624,123446,405097
Trung Quốc,2026-02,273234,97847,762987
Trung Quốc,2026-03,230481,58166,913265
Trung Quốc,2026-04,233683,44041,1239907
Trung Quốc,2026-05,231394,33888,1579963
Trung Quốc,2026-06,212071,24825,1811570
Trung Quốc,2026-07,234378,22393,2452973
Trung Quốc,2026-08,263985,20920,3330941
Trung Quốc,2026-09,247045,16448,3710200
Trung Quốc,2026-10,254224,14371,4496770
Trung Quốc,2026-11,273122,13225,5639840
Trung Quốc,2026-12,272605,11393,6521859
Hàn Quốc,2026-01,441890,264280,738864
Hàn Quốc,2026-02,459552,169930,1242793
Hàn Quốc,2026-03,324011,80105,1310549
Hàn Quốc,2026-04,288595,50830,1638508
Hàn Quốc,2026-05,301281,39600,2292113
Hàn Quốc,2026-06,313560,31815,3090201
Hàn Quốc,2026-07,337088,27079,4195983
Hàn Quốc,2026-08,435985,28274,6722516
Hàn Quốc,2026-09,372605,19810,7007640
Hàn Quốc,2026-10,383388,16924,8684616
Hàn Quốc,2026-11,404705,14989,10925772
Hàn Quốc,2026-12,449128,14086,14319010
Nhật Bản,2026-01,52532,19167,143971
Nhật Bản,2026-02,52804,19044,146403
Nhật Bản,2026-03,54575,16912,176109
Nhật Bản,2026-04,46754,13691,159653
Nhật Bản,2026-05,48888,13113,182254
Nhật Bản,2026-06,46740,11740,186065
Nhật Bản,2026-07,50320,11781,214922
Nhật Bản,2026-08,63876,14036,290672
Nhật Bản,2026-09,64460,13305,312286
Nhật Bản,2026-10,54693,10638,281176
Nhật Bản,2026-11,61204,11237,333335
Nhật Bản,2026-12,60363,10483,347553
Nga,2026-01,114104,21402,608318
Nga,2026-02,115668,16162,827723
Nga,2026-03,120956,14748,991914
Nga,2026-04,137409,15353,1229744
Nga,2026-05,139086,14509,1333184
Nga,2026-06,149209,14654,1519199
Nga,2026-07,257460,23901,2773164
Nga,2026-08,210898,18549,2397692
Nga,2026-09,189253,15805,2266033
Nga,2026-10,158183,12565,1991255
Nga,2026-11,154829,11710,2046889
Nga,2026-12,139678,10069,1937446
Campuchia,2026-01,24640,5694,106620
Campuchia,2026-02,33367,7083,157165
Campuchia,2026-03,32151,6653,155344
Campuchia,2026-04,35985,7324,176778
Campuchia,2026-05,37421,7505,186557
Campuchia,2026-06,31317,6192,158361
Campuchia,2026-07,36446,7106,186891
Campuchia,2026-08,33404,6424,173683
Campuchia,2026-09,57491,10905,303054
Campuchia,2026-10,50468,9443,269691
Campuchia,2026-11,52297,9653,283295
Campuchia,2026-12,47884,8718,262986
