country,year,quarter,arrivals,country_en
Ba Lan,2024,Q1,20279.0,Poland
Ba Lan,2025,Q1,31005.0,Poland
Ba Lan,2026,Q1,47232.0,Poland
Bỉ,2013,Q1,5075.0,Belgium
Bỉ,2014,Q1,6017.0,Belgium
Bỉ,2015,Q1,5455.0,Belgium
Bỉ,2016,Q1,6417.0,Belgium
Bỉ,2017,Q1,7113.0,Belgium
Bỉ,2018,Q1,7572.0,Belgium
Bỉ,2019,Q1,7650.0,Belgium
Bỉ,2020,Q1,7452.0,Belgium
Bỉ,2022,Q1,216.0,Belgium
Bỉ,2023,Q1,5917.0,Belgium
Bỉ,2024,Q1,8275.0,Belgium
Bỉ,2025,Q1,9569.0,Belgium
Bỉ,2026,Q1,11360.0,Belgium
Campuchia,2010,Q1,43115.0,Cambodia
Campuchia,2011,Q1,76586.0,Cambodia
Campuchia,2012,Q1,102627.0,Cambodia
Campuchia,2013,Q1,74090.0,Cambodia
Campuchia,2014,Q1,99140.0,Cambodia
Campuchia,2015,Q1,77686.0,Cambodia
Campuchia,2016,Q1,41638.0,Cambodia
Campuchia,2017,Q1,56187.0,Cambodia
Campuchia,2018,Q1,67729.0,Cambodia
Campuchia,2019,Q1,33991.0,Cambodia
Campuchia,2020,Q1,120430.0,Cambodia
Campuchia,2022,Q1,1961.0,Cambodia
Campuchia,2023,Q1,95516.0,Cambodia
Campuchia,2024,Q1,113746.0,Cambodia
Campuchia,2025,Q1,233911.0,Cambodia
Campuchia,2026,Q1,330102.0,Cambodia
Canada,2009,Q1,17064.0,Canada
Canada,2010,Q1,10043.0,Canada
Canada,2013,Q1,33122.0,Canada
Canada,2014,Q1,37525.0,Canada
Canada,2015,Q1,35986.0,Canada
Canada,2016,Q1,40679.0,Canada
Canada,2017,Q1,47116.0,Canada
Canada,2018,Q1,50926.0,Canada
Canada,2019,Q1,53765.0,Canada
Canada,2020,Q1,41807.0,Canada
Canada,2022,Q1,1481.0,Canada
Canada,2023,Q1,43815.0,Canada
Canada,2024,Q1,49943.0,Canada
Canada,2025,Q1,60124.0,Canada
Canada,2026,Q1,74670.0,Canada
Hoa Kỳ,2009,Q1,104520.0,USA
Hoa Kỳ,2010,Q1,125982.0,USA
Hoa Kỳ,2011,Q1,133694.0,USA
Hoa Kỳ,2012,Q1,144786.0,USA
Hoa Kỳ,2013,Q1,127656.0,USA
Hoa Kỳ,2014,Q1,140051.0,USA
Hoa Kỳ,2015,Q1,145731.0,USA
Hoa Kỳ,2016,Q1,164738.0,USA
Hoa Kỳ,2017,Q1,179661.0,USA
Hoa Kỳ,2018,Q1,203687.0,USA
Hoa Kỳ,2019,Q1,219700.0,USA
Hoa Kỳ,2020,Q1,172706.0,USA
Hoa Kỳ,2022,Q1,10151.0,USA
Hoa Kỳ,2023,Q1,206841.0,USA
Hoa Kỳ,2024,Q1,232358.0,USA
Hoa Kỳ,2025,Q1,258570.0,USA
Hoa Kỳ,2026,Q1,302401.0,USA
Hà Lan,2013,Q1,11404.0,Netherlands
Hà Lan,2014,Q1,13035.0,Netherlands
Hà Lan,2015,Q1,8585.0,Netherlands
Hà Lan,2016,Q1,14927.0,Netherlands
Hà Lan,2017,Q1,17970.0,Netherlands
Hà Lan,2018,Q1,19636.0,Netherlands
Hà Lan,2019,Q1,20695.0,Netherlands
Hà Lan,2020,Q1,18265.0,Netherlands
Hà Lan,2022,Q1,536.0,Netherlands
Hà Lan,2023,Q1,15862.0,Netherlands
Hà Lan,2024,Q1,21978.0,Netherlands
Hà Lan,2025,Q1,24990.0,Netherlands
Hà Lan,2026,Q1,29661.0,Netherlands
Hàn Quốc,2009,Q1,104840.0,South Korea
Hàn Quốc,2010,Q1,132074.0,South Korea
Hàn Quốc,2011,Q1,143959.0,South Korea
Hàn Quốc,2012,Q1,206328.0,South Korea
Hàn Quốc,2013,Q1,224376.0,South Korea
Hàn Quốc,2014,Q1,238496.0,South Korea
Hàn Quốc,2015,Q1,352817.0,South Korea
Hàn Quốc,2016,Q1,408157.0,South Korea
Hàn Quốc,2017,Q1,527464.0,South Korea
Hàn Quốc,2018,Q1,892462.0,South Korea
Hàn Quốc,2019,Q1,1107794.0,South Korea
Hàn Quốc,2020,Q1,819089.0,South Korea
Hàn Quốc,2022,Q1,14617.0,South Korea
Hàn Quốc,2023,Q1,810938.0,South Korea
Hàn Quốc,2024,Q1,1232877.0,South Korea
Hàn Quốc,2025,Q1,1260131.0,South Korea
Hàn Quốc,2026,Q1,1326425.0,South Korea
Hồng Kông,2013,Q1,1785.0,Hong Kong
Hồng Kông,2014,Q1,5817.0,Hong Kong
Hồng Kông,2015,Q1,3114.0,Hong Kong
Hồng Kông,2016,Q1,7187.0,Hong Kong
Hồng Kông,2017,Q1,9774.0,Hong Kong
Hồng Kông,2018,Q1,14165.0,Hong Kong
Hồng Kông,2019,Q1,16451.0,Hong Kong
Hồng Kông,2020,Q1,3780.0,Hong Kong
Hồng Kông,2022,Q1,6.0,Hong Kong
Hồng Kông,2023,Q1,53.0,Hong Kong
Indonesia,2013,Q1,17177.0,Indonesia
Indonesia,2014,Q1,17671.0,Indonesia
Indonesia,2015,Q1,17858.0,Indonesia
Indonesia,2016,Q1,16009.0,Indonesia
Indonesia,2017,Q1,18174.0,Indonesia
Indonesia,2018,Q1,20792.0,Indonesia
Indonesia,2019,Q1,24366.0,Indonesia
Indonesia,2020,Q1,21446.0,Indonesia
Indonesia,2022,Q1,348.0,Indonesia
Indonesia,2023,Q1,20911.0,Indonesia
Indonesia,2024,Q1,45691.0,Indonesia
Indonesia,2025,Q1,48826.0,Indonesia
Indonesia,2026,Q1,70259.0,Indonesia
Lào,2013,Q1,25400.0,Laos
Lào,2014,Q1,31629.0,Laos
Lào,2015,Q1,27390.0,Laos
Lào,2016,Q1,26806.0,Laos
Lào,2017,Q1,35641.0,Laos
Lào,2018,Q1,34225.0,Laos
Lào,2019,Q1,26570.0,Laos
Lào,2020,Q1,36810.0,Laos
Lào,2022,Q1,4756.0,Laos
Lào,2023,Q1,28214.0,Laos
Lào,2024,Q1,33292.0,Laos
Lào,2025,Q1,50843.0,Laos
Lào,2026,Q1,46199.0,Laos
Malaysia,2009,Q1,46384.0,Malaysia
Malaysia,2010,Q1,44025.0,Malaysia
Malaysia,2011,Q1,53911.0,Malaysia
Malaysia,2012,Q1,70196.0,Malaysia
Malaysia,2013,Q1,70145.0,Malaysia
Malaysia,2014,Q1,80823.0,Malaysia
Malaysia,2015,Q1,74073.0,Malaysia
Malaysia,2016,Q1,94365.0,Malaysia
Malaysia,2017,Q1,113099.0,Malaysia
Malaysia,2018,Q1,129278.0,Malaysia
Malaysia,2019,Q1,143629.0,Malaysia
Malaysia,2020,Q1,116221.0,Malaysia
Malaysia,2022,Q1,1242.0,Malaysia
Malaysia,2023,Q1,115303.0,Malaysia
Malaysia,2024,Q1,143713.0,Malaysia
Malaysia,2025,Q1,141100.0,Malaysia
Malaysia,2026,Q1,171373.0,Malaysia
Na Uy,2013,Q1,5737.0,Norway
Na Uy,2014,Q1,7401.0,Norway
Na Uy,2015,Q1,6230.0,Norway
Na Uy,2016,Q1,7749.0,Norway
Na Uy,2017,Q1,7322.0,Norway
Na Uy,2018,Q1,8314.0,Norway
Na Uy,2019,Q1,9388.0,Norway
Na Uy,2020,Q1,8958.0,Norway
Na Uy,2022,Q1,158.0,Norway
Na Uy,2023,Q1,6353.0,Norway
Na Uy,2024,Q1,9269.0,Norway
Na Uy,2025,Q1,10754.0,Norway
Na Uy,2026,Q1,13549.0,Norway
New Zealand,2013,Q1,7136.0,New Zealand
New Zealand,2014,Q1,8182.0,New Zealand
New Zealand,2015,Q1,10580.0,New Zealand
New Zealand,2016,Q1,7884.0,New Zealand
New Zealand,2017,Q1,9521.0,New Zealand
New Zealand,2018,Q1,10254.0,New Zealand
New Zealand,2019,Q1,10551.0,New Zealand
New Zealand,2020,Q1,9470.0,New Zealand
New Zealand,2022,Q1,110.0,New Zealand
New Zealand,2023,Q1,4335.0,New Zealand
New Zealand,2024,Q1,10855.0,New Zealand
New Zealand,2025,Q1,12613.0,New Zealand
New Zealand,2026,Q1,15063.0,New Zealand
Nga,2012,Q1,37444.0,Russia
Nga,2013,Q1,84697.0,Russia
Nga,2014,Q1,131469.0,Russia
Nga,2015,Q1,96258.0,Russia
Nga,2016,Q1,108750.0,Russia
Nga,2017,Q1,175456.0,Russia
Nga,2018,Q1,203121.0,Russia
Nga,2019,Q1,215618.0,Russia
Nga,2020,Q1,244966.0,Russia
Nga,2022,Q1,5492.0,Russia
Nga,2023,Q1,35121.0,Russia
Nga,2024,Q1,59226.0,Russia
Nga,2025,Q1,124654.0,Russia
Nga,2026,Q1,367168.0,Russia
Nhật Bản,2009,Q1,101065.0,Japan
Nhật Bản,2010,Q1,110245.0,Japan
Nhật Bản,2011,Q1,88585.0,Japan
Nhật Bản,2012,Q1,159190.0,Japan
Nhật Bản,2013,Q1,156376.0,Japan
Nhật Bản,2014,Q1,170772.0,Japan
Nhật Bản,2015,Q1,178171.0,Japan
Nhật Bản,2016,Q1,192410.0,Japan
Nhật Bản,2017,Q1,201590.0,Japan
Nhật Bản,2018,Q1,215427.0,Japan
Nhật Bản,2019,Q1,233355.0,Japan
Nhật Bản,2020,Q1,200346.0,Japan
Nhật Bản,2022,Q1,4511.0,Japan
Nhật Bản,2023,Q1,117216.0,Japan
