country,year,month,arrivals
Ba Lan,2024,1,6710
Ba Lan,2024,2,7120
Ba Lan,2024,3,6449
Ba Lan,2024,4,3017
Ba Lan,2024,5,2237
Ba Lan,2024,6,1010
Ba Lan,2024,7,1388
Ba Lan,2024,8,1742
Ba Lan,2024,9,1807
Ba Lan,2024,10,2852
Ba Lan,2024,11,9629
Ba Lan,2024,12,7196
Ba Lan,2025,1,8678
Ba Lan,2025,2,12653
Ba Lan,2025,3,9674
Ba Lan,2025,4,3656
Ba Lan,2025,5,2246
Ba Lan,2025,6,1406
Ba Lan,2025,7,2128
Ba Lan,2025,8,2478
Ba Lan,2025,9,3044
Ba Lan,2025,10,3582
Ba Lan,2025,11,12737
Ba Lan,2025,12,10646
Ba Lan,2026,1,17240
Ba Lan,2026,2,18463
Ba Lan,2026,3,11529
Ba Lan,2026,4,5680
Ba Lan,2026,5,3065
Bỉ,2008,7,2091
Bỉ,2008,9,918
Bỉ,2008,10,1331
Bỉ,2012,12,1706
Bỉ,2013,1,1723
Bỉ,2013,2,1439
Bỉ,2013,3,1913
Bỉ,2013,4,2279
Bỉ,2013,5,1247
Bỉ,2013,6,1029
Bỉ,2013,7,2913
Bỉ,2013,8,2136
Bỉ,2013,9,1326
Bỉ,2013,10,1304
Bỉ,2013,11,2429
Bỉ,2013,12,1834
Bỉ,2014,1,1990
Bỉ,2014,2,2001
Bỉ,2014,3,2026
Bỉ,2014,4,2605
Bỉ,2014,5,1470
Bỉ,2014,6,1026
Bỉ,2014,7,3097
Bỉ,2014,8,2260
Bỉ,2014,9,1343
Bỉ,2014,10,1369
Bỉ,2014,11,2260
Bỉ,2014,12,1828
Bỉ,2015,1,1827
Bỉ,2015,2,1761
Bỉ,2015,3,1867
Bỉ,2015,4,2523
Bỉ,2015,5,1322
Bỉ,2015,6,1010
Bỉ,2015,7,3306
Bỉ,2015,8,2286
Bỉ,2015,9,1521
Bỉ,2015,10,1656
Bỉ,2015,11,2535
Bỉ,2015,12,2075
Bỉ,2016,1,1957
Bỉ,2016,2,2103
Bỉ,2016,3,2357
Bỉ,2016,4,2402
Bỉ,2016,5,1517
Bỉ,2016,6,1017
Bỉ,2016,7,3658
Bỉ,2016,8,2481
Bỉ,2016,9,1923
Bỉ,2016,10,1646
Bỉ,2016,11,3092
Bỉ,2016,12,2078
Bỉ,2017,1,2498
Bỉ,2017,2,2230
Bỉ,2017,3,2385
Bỉ,2017,4,2940
Bỉ,2017,5,1557
Bỉ,2017,6,1309
Bỉ,2017,7,3855
Bỉ,2017,8,2795
Bỉ,2017,9,2175
Bỉ,2017,10,1915
Bỉ,2017,11,3124
Bỉ,2017,12,2361
Bỉ,2018,1,2580
Bỉ,2018,2,2554
Bỉ,2018,3,2438
Bỉ,2018,4,3535
Bỉ,2018,5,1762
Bỉ,2018,6,1345
Bỉ,2018,7,4310
Bỉ,2018,8,3067
Bỉ,2018,9,2354
Bỉ,2018,10,2082
Bỉ,2018,11,3073
Bỉ,2018,12,2282
Bỉ,2019,1,2564
Bỉ,2019,2,2537
Bỉ,2019,3,2549
Bỉ,2019,4,3530
Bỉ,2019,5,1778
Bỉ,2019,6,1509
Bỉ,2019,7,4833
Bỉ,2019,8,3676
Bỉ,2019,9,2766
Bỉ,2019,10,2105
Bỉ,2019,11,3651
Bỉ,2019,12,2689
Bỉ,2020,1,2782
Bỉ,2020,2,2699
Bỉ,2020,3,1971
Bỉ,2022,1,50
Bỉ,2022,2,77
Bỉ,2022,3,89
Bỉ,2022,4,379
Bỉ,2022,5,543
Bỉ,2022,6,641
Bỉ,2022,7,1528
Bỉ,2022,8,1651
Bỉ,2022,9,1524
Bỉ,2022,10,1198
Bỉ,2022,11,2112
Bỉ,2022,12,1619
Bỉ,2023,1,1742
Bỉ,2023,2,1838
Bỉ,2023,3,2337
Bỉ,2023,4,2563
Bỉ,2023,5,1690
Bỉ,2023,6,1138
Bỉ,2023,7,2891
Bỉ,2023,8,2871
Bỉ,2023,9,2096
Bỉ,2023,10,1799
Bỉ,2023,11,3081
Bỉ,2023,12,2307
Bỉ,2024,1,2495
Bỉ,2024,2,2396
Bỉ,2024,3,3384
Bỉ,2024,4,3305
Bỉ,2024,5,1904
Bỉ,2024,6,1194
Bỉ,2024,7,3271
Bỉ,2024,8,2492
Bỉ,2024,9,2149
Bỉ,2024,10,2726
Bỉ,2024,11,3762
Bỉ,2024,12,2652
