country,year,total_arrivals
Ba Lan,2024,51157.0
Ba Lan,2025,72928.0
Ba Lan,2026,55977.0
Bỉ,2008,4340.0
Bỉ,2012,1706.0
Bỉ,2013,21572.0
Bỉ,2014,23275.0
Bỉ,2015,23689.0
Bỉ,2016,26231.0
Bỉ,2017,29144.0
Bỉ,2018,31382.0
Bỉ,2019,34187.0
Bỉ,2020,7452.0
Bỉ,2022,11411.0
Bỉ,2023,26353.0
Bỉ,2024,31730.0
Bỉ,2025,37566.0
Bỉ,2026,18335.0
Campuchia,2008,30685.0
Campuchia,2010,239281.0
Campuchia,2011,408400.0
Campuchia,2012,338684.0
Campuchia,2013,315289.0
Campuchia,2014,397399.0
Campuchia,2015,220449.0
Campuchia,2016,211949.0
Campuchia,2017,222614.0
Campuchia,2018,202954.0
Campuchia,2019,227910.0
Campuchia,2020,120430.0
Campuchia,2022,200907.0
Campuchia,2023,402062.0
Campuchia,2024,474580.0
Campuchia,2025,687132.0
Campuchia,2026,455124.0
Canada,2008,19185.0
Canada,2009,63620.0
Canada,2010,10043.0
Canada,2012,9043.0
Canada,2013,104973.0
Canada,2014,105279.0
Canada,2015,105189.0
Canada,2016,122929.0
Canada,2017,138242.0
Canada,2018,149535.0
Canada,2019,159121.0
Canada,2020,41807.0
Canada,2022,51069.0
Canada,2023,133493.0
Canada,2024,152527.0
Canada,2025,173391.0
Canada,2026,109578.0
Châu Á,2008,395007.0
Châu Âu,2008,90555.0
Các thị trường khác,2008,214797.0
Các thị trường khác,2009,1039850.0
Các thị trường khác,2010,1288800.0
Các thị trường khác,2011,1434146.0
Các thị trường khác,2012,1536299.0
Các thị trường khác,2013,598755.0
Các thị trường khác,2014,425355.0
Các thị trường khác,2015,428153.0
Các thị trường khác thuộc châu Mỹ,2016,59500.0
Các thị trường khác thuộc châu Mỹ,2017,64674.0
Các thị trường khác thuộc châu Mỹ,2018,67069.0
Các thị trường khác thuộc châu Mỹ,2019,68502.0
Các thị trường khác thuộc châu Mỹ,2020,19537.0
Các thị trường khác thuộc châu Mỹ,2022,19633.0
Các thị trường khác thuộc châu Mỹ,2023,53218.0
Các thị trường khác thuộc châu Mỹ,2024,67755.0
Các thị trường khác thuộc châu Mỹ,2025,82764.0
Các thị trường khác thuộc châu Mỹ,2026,40591.0
Các thị trường khác thuộc châu Phi,2016,28564.0
Các thị trường khác thuộc châu Phi,2017,35881.0
Các thị trường khác thuộc châu Phi,2018,42761.0
Các thị trường khác thuộc châu Phi,2019,47957.0
Các thị trường khác thuộc châu Phi,2020,11930.0
Các thị trường khác thuộc châu Phi,2022,11456.0
Các thị trường khác thuộc châu Phi,2023,30108.0
Các thị trường khác thuộc châu Phi,2024,50906.0
Các thị trường khác thuộc châu Phi,2025,56262.0
Các thị trường khác thuộc châu Phi,2026,26195.0
Các thị trường khác thuộc châu Á,2016,278965.0
Các thị trường khác thuộc châu Á,2017,238580.0
Các thị trường khác thuộc châu Á,2018,150007.0
Các thị trường khác thuộc châu Á,2019,152512.0
Các thị trường khác thuộc châu Á,2020,40374.0
Các thị trường khác thuộc châu Á,2022,288864.0
Các thị trường khác thuộc châu Á,2023,541517.0
Các thị trường khác thuộc châu Á,2024,854025.0
Các thị trường khác thuộc châu Á,2025,1234917.0
Các thị trường khác thuộc châu Á,2026,604290.0
