month,ensemble_forecast,sarimax_forecast,lr_forecast,rf_forecast,xgb_forecast
2026-01,1424646,1169591,1555338,1513115,1460542
2026-02,1314413,1225010,1376693,1442318,1213631
2026-03,1237878,1077132,1276406,1405289,1192685
2026-04,1172918,1013550,1204130,1302032,1171963
2026-05,1084863,989794,1148656,1051310,1149692
2026-06,1068738,981109,1069065,1058289,1166492
2026-07,1101678,1092800,1058573,1066580,1188759
2026-08,1104928,1219833,1097086,1073171,1029623
2026-09,1066157,1126556,1110085,1030927,997063
2026-10,1135549,1133691,1078582,1139735,1190190
2026-11,1197511,1268858,1153363,1163814,1204011
2026-12,1120819,1308617,1222042,1075151,877468
