Model,Horizon,MAE,MAPE,N
Linear Regression,1,142772.56421289523,9.603404247794256,23
Linear Regression,3,238481.8340008644,15.801156864890052,21
Linear Regression,6,304168.2017105437,18.873852284925547,18
Linear Regression,12,496230.42757956235,30.75512261095047,12
Random Forest,1,147001.61275272127,9.864379988867713,23
Random Forest,3,167709.5492716027,10.925388971824518,21
Random Forest,6,155418.78202823485,9.719449074058723,18
Random Forest,12,176305.375578869,10.316873137965729,12
XGBoost,1,164169.74184782608,11.084605344504771,23
XGBoost,3,354668.4910714286,23.55909828645741,21
XGBoost,6,406555.58680555556,24.94729923861993,18
XGBoost,12,520318.765625,31.038352718692774,12
